epoch,tag,true,pred_Conservative,pred_Liberal,pred_Neutral
0,train,Conservative,623,234,348
0,train,Liberal,734,307,364
0,train,Neutral,172,90,156
0,validation,Conservative,3,195,51
0,validation,Liberal,2,226,68
0,validation,Neutral,0,43,61
1,train,Conservative,216,703,286
1,train,Liberal,267,858,280
1,train,Neutral,77,202,139
1,validation,Conservative,7,204,38
1,validation,Liberal,6,239,51
1,validation,Neutral,5,47,52
2,train,Conservative,195,890,120
2,train,Liberal,233,1050,122
2,train,Neutral,59,223,136
2,validation,Conservative,3,199,47
2,validation,Liberal,3,232,61
2,validation,Neutral,2,45,57
3,train,Conservative,225,834,146
3,train,Liberal,263,1009,133
3,train,Neutral,80,177,161
3,validation,Conservative,19,149,81
3,validation,Liberal,29,177,90
3,validation,Neutral,8,28,68
4,train,Conservative,201,903,101
4,train,Liberal,252,1061,92
4,train,Neutral,63,191,164
4,validation,Conservative,7,191,51
4,validation,Liberal,16,233,47
4,validation,Neutral,3,47,54
-1,test,Conservative,10,182,55
-1,test,Liberal,10,255,59
-1,test,Neutral,4,39,35
