epoch,tag,true,pred_Neutral,pred_Conservative,pred_Liberal
0,train,Neutral,134,126,158
0,train,Conservative,376,382,447
0,train,Liberal,385,466,554
0,validation,Neutral,66,27,11
0,validation,Conservative,159,66,24
0,validation,Liberal,184,76,36
1,train,Neutral,108,143,167
1,train,Conservative,291,424,490
1,train,Liberal,372,438,595
1,validation,Neutral,69,4,31
1,validation,Conservative,182,16,51
1,validation,Liberal,197,25,74
2,train,Neutral,93,105,220
2,train,Conservative,330,266,609
2,train,Liberal,343,340,722
2,validation,Neutral,91,3,10
2,validation,Conservative,208,6,35
2,validation,Liberal,261,6,29
3,train,Neutral,108,115,195
3,train,Conservative,307,352,546
3,train,Liberal,363,409,633
3,validation,Neutral,75,26,3
3,validation,Conservative,191,56,2
3,validation,Liberal,221,65,10
4,train,Neutral,104,105,209
4,train,Conservative,312,314,579
4,train,Liberal,307,374,724
4,validation,Neutral,102,2,0
4,validation,Conservative,243,6,0
4,validation,Liberal,291,5,0
-1,test,Neutral,78,0,0
-1,test,Conservative,238,8,1
-1,test,Liberal,318,4,2
