,epoch,loop,f1,roc_auc,accuracy
0,0,train,0.37846763540290623,0.5338507265521797,0.37846763540290623
1,0,validation,0.43297380585516176,0.5747303543913713,0.43297380585516176
2,1,train,0.4966974900924703,0.6225231175693527,0.4966974900924703
3,1,validation,0.48536209553158705,0.6140215716486902,0.48536209553158705
4,2,train,0.6472919418758256,0.7354689564068692,0.6472919418758256
5,2,validation,0.49768875192604006,0.6232665639445301,0.49768875192604006
6,3,train,0.8107661822985469,0.8580746367239102,0.8107661822985469
7,3,validation,0.5130970724191063,0.6348228043143298,0.5130970724191063
8,4,train,0.9339498018494056,0.9504623513870541,0.9339498018494056
9,4,validation,0.5053929121725732,0.6290446841294298,0.5053929121725732
10,-1,test,0.5084745762711864,0.6313559322033898,0.5084745762711864
