,epoch,loop,f1,roc_auc,accuracy
0,0,train,0.3371862615587847,0.5028896961690885,0.3371862615587847
1,0,validation,0.38095238095238093,0.4761171032357473,0.15870570107858242
2,1,train,0.37912813738441214,0.5343461030383091,0.37912813738441214
3,1,validation,0.4833574529667149,0.5304314329738058,0.09090909090909091
4,2,train,0.3910171730515192,0.5432628797886393,0.3910171730515192
5,2,validation,0.4,0.474191063174114,0.1263482280431433
6,3,train,0.38771466314398945,0.540785997357992,0.38771466314398945
7,3,validation,0.4488778054862843,0.49768875192604006,0.10323574730354391
8,4,train,0.39332892998679,0.5449966974900924,0.39332892998679
9,4,validation,0.45617529880478086,0.5057781201848999,0.11556240369799692
10,-1,test,0.4688128772635815,0.5227272727272727,0.15716486902927582
