,filename,n_samples,epoch,time,f1_macro,n_neighbors,metric,iteration
0,src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,500,0,1.2954061031341553,0.553522651565623,19,l1,1.0
1,src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,500,0,1.402602195739746,0.5157595796063473,14,cosine,2.0
2,src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,500,0,1.4382479190826416,0.4836211194790603,15,cosine,3.0
3,src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,1000,0,2.493927478790283,0.4796535504379353,17,l2,1.0
4,src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,1000,0,2.748990058898926,0.5351564144667593,4,cosine,2.0
5,src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,1000,0,2.638311624526977,0.5196460402342755,8,cosine,3.0
6,src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,1500,0,4.283021926879883,0.5623092756044702,9,l1,1.0
7,src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,1500,0,4.281028032302856,0.522452947919841,15,l1,2.0
8,src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,1500,0,4.149101734161377,0.5431567651936396,8,cosine,3.0
9,src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,500,1,1.668365478515625,0.5840287327360159,10,l2,1.0
10,src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,500,1,1.3423802852630615,0.5684940642923836,19,l2,2.0
11,src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,500,1,1.917886734008789,0.5478154179494835,14,cosine,3.0
12,src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,1000,1,2.554755210876465,0.5371367877055961,16,l1,1.0
13,src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,1000,1,2.7632274627685547,0.5934342558219323,10,l2,2.0
14,src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,1000,1,3.079765558242798,0.554553558665679,13,l1,3.0
15,src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,1500,1,3.345163583755493,0.5759523265009535,11,cosine,1.0
