path,n_samples,epoch,time,score,n_estimators,criterion,max_depth,iteration,embedding_model,learning_rate,classifier,weight_decay,warmup_ratio,optim,n_optim_iterations,measure,n_neighbors,metric,hidden_layer_sizes,max_iter,early_stopping
src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,500,0,86.55582594871521,0.559374594056675,260.0,log_loss,30.0,1,FacebookAI/roberta-base,1e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,500,0,160.9390652179718,0.6145652851462883,360.0,log_loss,90.0,2,FacebookAI/roberta-base,1e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,500,0,162.060715675354,0.6188034188034188,760.0,log_loss,30.0,3,FacebookAI/roberta-base,1e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,1000,0,130.76717972755432,0.5649738139306827,60.0,log_loss,30.0,1,FacebookAI/roberta-base,1e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,1000,0,283.0178415775299,0.6360770440251572,660.0,gini,60.0,2,FacebookAI/roberta-base,1e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,1000,0,270.2573285102844,0.5355424137175756,310.0,entropy,30.0,3,FacebookAI/roberta-base,1e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,1500,0,342.23054671287537,0.6599071866813659,810.0,gini,30.0,1,FacebookAI/roberta-base,1e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,1500,0,304.2597525119781,0.6769820178322202,410.0,entropy,30.0,2,FacebookAI/roberta-base,1e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,1500,0,344.85884976387024,0.5458781362007169,110.0,log_loss,90.0,3,FacebookAI/roberta-base,1e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,2000,0,558.366060256958,0.6372600024773938,710.0,gini,90.0,1,FacebookAI/roberta-base,1e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,2000,0,599.786251783371,0.648014923627115,910.0,gini,30.0,2,FacebookAI/roberta-base,1e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,2000,0,304.9523470401764,0.6025945829371748,210.0,log_loss,30.0,3,FacebookAI/roberta-base,1e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,500,1,64.45894241333008,0.6533003545948132,310.0,entropy,60.0,1,FacebookAI/roberta-base,1e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,500,1,119.43076014518738,0.6187889718750116,210.0,gini,90.0,2,FacebookAI/roberta-base,1e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,500,1,108.95687770843506,0.5167198613748667,460.0,log_loss,60.0,3,FacebookAI/roberta-base,1e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,1000,1,472.6743793487549,0.6623608412396562,860.0,log_loss,30.0,1,FacebookAI/roberta-base,1e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,1000,1,337.3595027923584,0.6182667777734526,810.0,gini,30.0,2,FacebookAI/roberta-base,1e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,1000,1,252.5651388168335,0.6190749240820148,310.0,log_loss,60.0,3,FacebookAI/roberta-base,1e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,1500,1,379.146621465683,0.6679428774514555,810.0,gini,90.0,1,FacebookAI/roberta-base,1e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,1500,1,332.84777545928955,0.6367793204799956,260.0,gini,90.0,2,FacebookAI/roberta-base,1e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,1500,1,335.211749792099,0.674584909177219,310.0,log_loss,60.0,3,FacebookAI/roberta-base,1e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,2000,1,490.0748426914215,0.6231423086506842,310.0,entropy,90.0,1,FacebookAI/roberta-base,1e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,2000,1,667.0512399673462,0.607275031378769,860.0,entropy,30.0,2,FacebookAI/roberta-base,1e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,2000,1,659.7759981155396,0.6292081721942263,560.0,entropy,30.0,3,FacebookAI/roberta-base,1e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,500,2,115.05177760124208,0.6259629431114755,910.0,gini,60.0,1,FacebookAI/roberta-base,1e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,500,2,83.31332516670227,0.5529592986734656,410.0,log_loss,60.0,2,FacebookAI/roberta-base,1e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,500,2,175.73476672172546,0.6132996632996633,960.0,entropy,30.0,3,FacebookAI/roberta-base,1e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,1000,2,272.0620939731598,0.5888629888629889,510.0,entropy,30.0,1,FacebookAI/roberta-base,1e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,1000,2,166.8495819568634,0.6133167473312997,510.0,log_loss,60.0,2,FacebookAI/roberta-base,1e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
