,embedding_model,learning_rate,epoch,score,path,n_samples,iteration,time,measure,n_optim_iterations,optim,warmup_ratio,weight_decay,classifier
0,answerdotai/ModernBERT-base,1e-06,0,0.33,./src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-06-data,Entraînement Hugging Face,1,-1,f1_macro,-1,adamw_torch,0.1,0.01,Baseline - HF Classifier
1,answerdotai/ModernBERT-base,1e-06,1,0.2083333333333333,./src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-06-data,Entraînement Hugging Face,1,-1,f1_macro,-1,adamw_torch,0.1,0.01,Baseline - HF Classifier
2,answerdotai/ModernBERT-base,1e-06,2,0.5675213675213676,./src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-06-data,Entraînement Hugging Face,1,-1,f1_macro,-1,adamw_torch,0.1,0.01,Baseline - HF Classifier
3,answerdotai/ModernBERT-base,1e-06,3,0.5675213675213676,./src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-06-data,Entraînement Hugging Face,1,-1,f1_macro,-1,adamw_torch,0.1,0.01,Baseline - HF Classifier
4,answerdotai/ModernBERT-base,1e-06,4,0.5238095238095238,./src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-06-data,Entraînement Hugging Face,1,-1,f1_macro,-1,adamw_torch,0.1,0.01,Baseline - HF Classifier
5,answerdotai/ModernBERT-base,1e-06,5,0.5238095238095238,./src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-06-data,Entraînement Hugging Face,1,-1,f1_macro,-1,adamw_torch,0.1,0.01,Baseline - HF Classifier
6,answerdotai/ModernBERT-base,5e-05,0,0.33,./src3/319_models/2025-06-09-answerdotai/ModernBERT-base-5e-05-data,Entraînement Hugging Face,1,-1,f1_macro,-1,adamw_torch,0.1,0.01,Baseline - HF Classifier
7,answerdotai/ModernBERT-base,5e-05,1,0.2777777777777777,./src3/319_models/2025-06-09-answerdotai/ModernBERT-base-5e-05-data,Entraînement Hugging Face,1,-1,f1_macro,-1,adamw_torch,0.1,0.01,Baseline - HF Classifier
8,answerdotai/ModernBERT-base,5e-05,2,0.3865546218487394,./src3/319_models/2025-06-09-answerdotai/ModernBERT-base-5e-05-data,Entraînement Hugging Face,1,-1,f1_macro,-1,adamw_torch,0.1,0.01,Baseline - HF Classifier
9,answerdotai/ModernBERT-base,5e-05,3,0.5696969696969697,./src3/319_models/2025-06-09-answerdotai/ModernBERT-base-5e-05-data,Entraînement Hugging Face,1,-1,f1_macro,-1,adamw_torch,0.1,0.01,Baseline - HF Classifier
10,answerdotai/ModernBERT-base,5e-05,4,0.5606837606837607,./src3/319_models/2025-06-09-answerdotai/ModernBERT-base-5e-05-data,Entraînement Hugging Face,1,-1,f1_macro,-1,adamw_torch,0.1,0.01,Baseline - HF Classifier
11,answerdotai/ModernBERT-base,5e-05,5,0.6084656084656085,./src3/319_models/2025-06-09-answerdotai/ModernBERT-base-5e-05-data,Entraînement Hugging Face,1,-1,f1_macro,-1,adamw_torch,0.1,0.01,Baseline - HF Classifier
12,answerdotai/ModernBERT-base,1e-05,0,0.33,./src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,Entraînement Hugging Face,1,-1,f1_macro,-1,adamw_torch,0.1,0.01,Baseline - HF Classifier
13,answerdotai/ModernBERT-base,1e-05,1,0.2777777777777777,./src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,Entraînement Hugging Face,1,-1,f1_macro,-1,adamw_torch,0.1,0.01,Baseline - HF Classifier
