,epoch,loop,f1,roc_auc,accuracy
0,0,train,0.34921052631578947,0.5119078947368422,0.34921052631578947
1,0,validation,0.37533068783068785,0.5314980158730159,0.37533068783068785
2,1,train,0.3748684210526316,0.5311513157894737,0.3748684210526316
3,1,validation,0.37913359788359785,0.5343501984126984,0.37913359788359785
4,2,train,0.41026315789473683,0.5576973684210527,0.41026315789473683
5,2,validation,0.404265873015873,0.5531994047619048,0.404265873015873
6,3,train,0.4417763157894737,0.5813322368421052,0.4417763157894737
7,3,validation,0.42675264550264547,0.5700644841269841,0.42675264550264547
8,4,train,0.49467105263157896,0.6210032894736842,0.49467105263157896
9,4,validation,0.4399801587301588,0.5799851190476191,0.4399801587301588
10,5,train,0.5552631578947368,0.6664473684210527,0.5552631578947368
11,5,validation,0.4818121693121693,0.611359126984127,0.4818121693121693
12,6,train,0.6378289473684211,0.7283717105263158,0.6378289473684211
13,6,validation,0.48611111111111116,0.6145833333333334,0.48611111111111116
14,7,train,0.7171052631578947,0.787828947368421,0.7171052631578947
15,7,validation,0.5011574074074074,0.6258680555555556,0.5011574074074074
16,8,train,0.8107236842105263,0.8580427631578946,0.8107236842105263
17,8,validation,0.5067791005291005,0.6300843253968255,0.5067791005291005
18,9,train,0.877828947368421,0.9083717105263157,0.877828947368421
19,9,validation,0.5004960317460317,0.6253720238095238,0.5004960317460317
20,-1,test,0.533068783068783,0.6498015873015873,0.533068783068783
