,epoch,loop,f1,roc_auc,accuracy
0,0,train,0.31763157894736843,0.4882236842105263,0.31763157894736843
1,0,validation,0.36772486772486773,0.5257936507936508,0.36772486772486773
2,1,train,0.35230263157894737,0.5142269736842106,0.35230263157894737
3,1,validation,0.3282076719576719,0.496155753968254,0.3282076719576719
4,2,train,0.3491447368421053,0.511858552631579,0.3491447368421053
5,2,validation,0.3090277777777778,0.4817708333333333,0.3090277777777778
6,3,train,0.3183552631578947,0.488766447368421,0.3183552631578947
7,3,validation,0.3058862433862434,0.47941468253968256,0.3058862433862434
8,4,train,0.3411842105263158,0.5058881578947368,0.3411842105263158
9,4,validation,0.3617724867724868,0.521329365079365,0.3617724867724868
10,5,train,0.3243421052631579,0.4932565789473684,0.3243421052631579
11,5,validation,0.3662367724867725,0.5246775793650793,0.3662367724867725
12,6,train,0.35013157894736846,0.5125986842105263,0.35013157894736846
13,6,validation,0.37466931216931215,0.5310019841269841,0.37466931216931215
14,7,train,0.34927631578947366,0.5119572368421053,0.34927631578947366
15,7,validation,0.28604497354497355,0.4645337301587302,0.28604497354497355
16,8,train,0.3092458758837392,0.4818092105263158,0.30875
17,8,validation,0.3090277777777778,0.4817708333333333,0.3090277777777778
18,9,train,0.3196052631578947,0.48970394736842104,0.3196052631578947
19,9,validation,0.28604497354497355,0.4645337301587302,0.28604497354497355
20,-1,test,0.29993386243386244,0.47495039682539686,0.29993386243386244
