model,lr,epoch,f1_macro,filename,n_samples,iteration,time
answerdotai/ModernBERT-base,1e-06,0,0.33,./src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-06-data,Entraînement Hugging Face,1,
answerdotai/ModernBERT-base,1e-06,1,0.2083333333333333,./src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-06-data,Entraînement Hugging Face,1,
answerdotai/ModernBERT-base,1e-06,2,0.5675213675213676,./src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-06-data,Entraînement Hugging Face,1,
answerdotai/ModernBERT-base,1e-06,3,0.5675213675213676,./src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-06-data,Entraînement Hugging Face,1,
answerdotai/ModernBERT-base,1e-06,4,0.5238095238095238,./src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-06-data,Entraînement Hugging Face,1,
answerdotai/ModernBERT-base,1e-06,5,0.5238095238095238,./src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-06-data,Entraînement Hugging Face,1,
answerdotai/ModernBERT-base,5e-05,0,0.33,./src3/319_models/2025-06-09-answerdotai/ModernBERT-base-5e-05-data,Entraînement Hugging Face,1,
answerdotai/ModernBERT-base,5e-05,1,0.2777777777777777,./src3/319_models/2025-06-09-answerdotai/ModernBERT-base-5e-05-data,Entraînement Hugging Face,1,
answerdotai/ModernBERT-base,5e-05,2,0.3865546218487394,./src3/319_models/2025-06-09-answerdotai/ModernBERT-base-5e-05-data,Entraînement Hugging Face,1,
answerdotai/ModernBERT-base,5e-05,3,0.5696969696969697,./src3/319_models/2025-06-09-answerdotai/ModernBERT-base-5e-05-data,Entraînement Hugging Face,1,
answerdotai/ModernBERT-base,5e-05,4,0.5606837606837607,./src3/319_models/2025-06-09-answerdotai/ModernBERT-base-5e-05-data,Entraînement Hugging Face,1,
answerdotai/ModernBERT-base,5e-05,5,0.6084656084656085,./src3/319_models/2025-06-09-answerdotai/ModernBERT-base-5e-05-data,Entraînement Hugging Face,1,
answerdotai/ModernBERT-base,1e-05,0,0.33,./src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,Entraînement Hugging Face,1,
answerdotai/ModernBERT-base,1e-05,1,0.2777777777777777,./src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,Entraînement Hugging Face,1,
answerdotai/ModernBERT-base,1e-05,2,0.3865546218487394,./src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,Entraînement Hugging Face,1,
answerdotai/ModernBERT-base,1e-05,3,0.4222222222222222,./src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,Entraînement Hugging Face,1,
answerdotai/ModernBERT-base,1e-05,4,0.5277777777777778,./src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,Entraînement Hugging Face,1,
answerdotai/ModernBERT-base,1e-05,5,0.5151515151515151,./src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,Entraînement Hugging Face,1,
answerdotai/ModernBERT-base,0.0001,0,0.33,./src3/319_models/2025-06-09-answerdotai/ModernBERT-base-0.0001-data,Entraînement Hugging Face,1,
answerdotai/ModernBERT-base,0.0001,1,0.2777777777777777,./src3/319_models/2025-06-09-answerdotai/ModernBERT-base-0.0001-data,Entraînement Hugging Face,1,
answerdotai/ModernBERT-base,0.0001,2,0.3865546218487394,./src3/319_models/2025-06-09-answerdotai/ModernBERT-base-0.0001-data,Entraînement Hugging Face,1,
answerdotai/ModernBERT-base,0.0001,3,0.3869463869463869,./src3/319_models/2025-06-09-answerdotai/ModernBERT-base-0.0001-data,Entraînement Hugging Face,1,
answerdotai/ModernBERT-base,0.0001,4,0.5738705738705739,./src3/319_models/2025-06-09-answerdotai/ModernBERT-base-0.0001-data,Entraînement Hugging Face,1,
answerdotai/ModernBERT-base,0.0001,5,0.5151515151515151,./src3/319_models/2025-06-09-answerdotai/ModernBERT-base-0.0001-data,Entraînement Hugging Face,1,
google-bert/bert-base-uncased,1e-06,0,0.33,./src3/319_models/2025-06-09-google-bert/bert-base-uncased-1e-06-data,Entraînement Hugging Face,1,
google-bert/bert-base-uncased,1e-06,1,0.14035087719298245,./src3/319_models/2025-06-09-google-bert/bert-base-uncased-1e-06-data,Entraînement Hugging Face,1,
google-bert/bert-base-uncased,1e-06,2,0.3829059829059829,./src3/319_models/2025-06-09-google-bert/bert-base-uncased-1e-06-data,Entraînement Hugging Face,1,
google-bert/bert-base-uncased,1e-06,3,0.39999999999999997,./src3/319_models/2025-06-09-google-bert/bert-base-uncased-1e-06-data,Entraînement Hugging Face,1,
google-bert/bert-base-uncased,1e-06,4,0.47222222222222215,./src3/319_models/2025-06-09-google-bert/bert-base-uncased-1e-06-data,Entraînement Hugging Face,1,
google-bert/bert-base-uncased,1e-06,5,0.42735042735042733,./src3/319_models/2025-06-09-google-bert/bert-base-uncased-1e-06-data,Entraînement Hugging Face,1,
google-bert/bert-base-uncased,5e-05,0,0.33,./src3/319_models/2025-06-09-google-bert/bert-base-uncased-5e-05-data,Entraînement Hugging Face,1,
google-bert/bert-base-uncased,5e-05,1,0.13333333333333333,./src3/319_models/2025-06-09-google-bert/bert-base-uncased-5e-05-data,Entraînement Hugging Face,1,
google-bert/bert-base-uncased,5e-05,2,0.125,./src3/319_models/2025-06-09-google-bert/bert-base-uncased-5e-05-data,Entraînement Hugging Face,1,
google-bert/bert-base-uncased,5e-05,3,0.43333333333333335,./src3/319_models/2025-06-09-google-bert/bert-base-uncased-5e-05-data,Entraînement Hugging Face,1,
google-bert/bert-base-uncased,5e-05,4,0.5023310023310024,./src3/319_models/2025-06-09-google-bert/bert-base-uncased-5e-05-data,Entraînement Hugging Face,1,
google-bert/bert-base-uncased,5e-05,5,0.5571428571428572,./src3/319_models/2025-06-09-google-bert/bert-base-uncased-5e-05-data,Entraînement Hugging Face,1,
google-bert/bert-base-uncased,1e-05,0,0.33,./src3/319_models/2025-06-09-google-bert/bert-base-uncased-1e-05-data,Entraînement Hugging Face,1,
google-bert/bert-base-uncased,1e-05,1,0.13333333333333333,./src3/319_models/2025-06-09-google-bert/bert-base-uncased-1e-05-data,Entraînement Hugging Face,1,
google-bert/bert-base-uncased,1e-05,2,0.20095693779904308,./src3/319_models/2025-06-09-google-bert/bert-base-uncased-1e-05-data,Entraînement Hugging Face,1,
google-bert/bert-base-uncased,1e-05,3,0.440422322775264,./src3/319_models/2025-06-09-google-bert/bert-base-uncased-1e-05-data,Entraînement Hugging Face,1,
google-bert/bert-base-uncased,1e-05,4,0.440422322775264,./src3/319_models/2025-06-09-google-bert/bert-base-uncased-1e-05-data,Entraînement Hugging Face,1,
google-bert/bert-base-uncased,1e-05,5,0.440422322775264,./src3/319_models/2025-06-09-google-bert/bert-base-uncased-1e-05-data,Entraînement Hugging Face,1,
google-bert/bert-base-uncased,0.0001,0,0.33,./src3/319_models/2025-06-09-google-bert/bert-base-uncased-0.0001-data,Entraînement Hugging Face,1,
google-bert/bert-base-uncased,0.0001,1,0.15873015873015872,./src3/319_models/2025-06-09-google-bert/bert-base-uncased-0.0001-data,Entraînement Hugging Face,1,
google-bert/bert-base-uncased,0.0001,2,0.1978021978021978,./src3/319_models/2025-06-09-google-bert/bert-base-uncased-0.0001-data,Entraînement Hugging Face,1,
google-bert/bert-base-uncased,0.0001,3,0.3421052631578947,./src3/319_models/2025-06-09-google-bert/bert-base-uncased-0.0001-data,Entraînement Hugging Face,1,
google-bert/bert-base-uncased,0.0001,4,0.45071225071225074,./src3/319_models/2025-06-09-google-bert/bert-base-uncased-0.0001-data,Entraînement Hugging Face,1,
google-bert/bert-base-uncased,0.0001,5,0.45071225071225074,./src3/319_models/2025-06-09-google-bert/bert-base-uncased-0.0001-data,Entraînement Hugging Face,1,
